inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
1,1:?,1:good,,0.71,6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2
2,1:?,1:good,,0.71,6.4,0.16,0.25,1.4,0.057,21,125,0.99091,3.23,0.44,11.1
3,1:?,2:bad,,1,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4
4,1:?,2:bad,,0.88,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2
5,1:?,1:good,,0.67,6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1
6,1:?,1:good,,0.88,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9
7,1:?,1:good,,0.88,6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9
8,1:?,1:good,,0.88,6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9
9,1:?,2:bad,,1,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
10,1:?,2:bad,,0.92,7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4
11,1:?,1:good,,0.79,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9
12,1:?,2:bad,,1,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4
13,1:?,1:good,,0.84,6.8,0.17,0.35,1.8,0.04,29,84,0.98961,2.91,0.57,12
14,1:?,2:bad,,1,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4
15,1:?,2:bad,,1,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4
16,1:?,2:bad,,0.98,6.5,0.25,0.5,7.6,0.047,54,184,0.99572,3.17,0.45,9.2
17,1:?,1:good,,0.99,6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3
18,1:?,2:bad,,0.92,7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4
19,1:?,1:good,,0.79,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9
