@relation data

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {#,##,###,####,#####,######,#######,########,#########,##########,###########,############,#############,##############,###############,################,#################,##################,###################,####################,#####################,######################,#######################,########################,#########################,##########################,###########################,############################,#############################,##############################,###############################,################################,#################################,##################################,###################################,####################################,#####################################,######################################,#######################################,########################################,#########################################,##########################################,###########################################,############################################,#############################################,##############################################,###############################################,################################################,#################################################,##################################################,###################################################,####################################################,#####################################################,######################################################,#######################################################,########################################################,#########################################################,##########################################################,###########################################################,############################################################,#############################################################,##############################################################,###############################################################,################################################################,#################################################################,##################################################################,###################################################################,####################################################################,#####################################################################,######################################################################,#######################################################################,########################################################################,#########################################################################,##########################################################################,###########################################################################,############################################################################,#############################################################################,##############################################################################,###############################################################################,################################################################################,#################################################################################,##################################################################################,###################################################################################,####################################################################################,#####################################################################################,######################################################################################,#######################################################################################,########################################################################################,#########################################################################################,##########################################################################################,###########################################################################################,############################################################################################,#############################################################################################,##############################################################################################,###############################################################################################,################################################################################################,#################################################################################################,##################################################################################################,###################################################################################################,####################################################################################################}

@data
1010,1000,1000,1000,1000,1000,1000,1000,1000,1000,#
1000,1010,1000,1000,1000,1000,1000,1000,1000,1000,#
1000,1000,1010,1000,1000,1000,1000,1000,1000,1000,#
1000,1000,1000,1010,1000,1000,1000,1000,1000,1000,#
1000,1000,1000,1000,1010,1000,1000,1000,1000,1000,#
1000,1000,1000,1000,1000,1010,1000,1000,1000,1000,#
1000,1000,1000,1000,1000,1000,1010,1000,1000,1000,#
1000,1000,1000,1000,1000,1000,1000,1010,1000,1000,#
1000,1000,1000,1000,1000,1000,1000,1000,1010,1000,#
1000,1000,1000,1000,1000,1000,1000,1000,1000,1010,#
2010,2000,2000,2000,2000,2000,2000,2000,2000,2000,##
2000,2010,2000,2000,2000,2000,2000,2000,2000,2000,##
2000,2000,2010,2000,2000,2000,2000,2000,2000,2000,##
2000,2000,2000,2010,2000,2000,2000,2000,2000,2000,##
2000,2000,2000,2000,2010,2000,2000,2000,2000,2000,##
2000,2000,2000,2000,2000,2010,2000,2000,2000,2000,##
2000,2000,2000,2000,2000,2000,2010,2000,2000,2000,##
2000,2000,2000,2000,2000,2000,2000,2010,2000,2000,##
2000,2000,2000,2000,2000,2000,2000,2000,2010,2000,##
2000,2000,2000,2000,2000,2000,2000,2000,2000,2010,##
3010,3000,3000,3000,3000,3000,3000,3000,3000,3000,###
3000,3010,3000,3000,3000,3000,3000,3000,3000,3000,###
3000,3000,3010,3000,3000,3000,3000,3000,3000,3000,###
3000,3000,3000,3010,3000,3000,3000,3000,3000,3000,###
3000,3000,3000,3000,3010,3000,3000,3000,3000,3000,###
3000,3000,3000,3000,3000,3010,3000,3000,3000,3000,###
3000,3000,3000,3000,3000,3000,3010,3000,3000,3000,###
3000,3000,3000,3000,3000,3000,3000,3010,3000,3000,###
3000,3000,3000,3000,3000,3000,3000,3000,3010,3000,###
3000,3000,3000,3000,3000,3000,3000,3000,3000,3010,###
4010,4000,4000,4000,4000,4000,4000,4000,4000,4000,####
4000,4010,4000,4000,4000,4000,4000,4000,4000,4000,####
4000,4000,4010,4000,4000,4000,4000,4000,4000,4000,####
4000,4000,4000,4010,4000,4000,4000,4000,4000,4000,####
4000,4000,4000,4000,4010,4000,4000,4000,4000,4000,####
4000,4000,4000,4000,4000,4010,4000,4000,4000,4000,####
4000,4000,4000,4000,4000,4000,4010,4000,4000,4000,####
4000,4000,4000,4000,4000,4000,4000,4010,4000,4000,####
4000,4000,4000,4000,4000,4000,4000,4000,4010,4000,####
4000,4000,4000,4000,4000,4000,4000,4000,4000,4010,####
5010,5000,5000,5000,5000,5000,5000,5000,5000,5000,#####
5000,5010,5000,5000,5000,5000,5000,5000,5000,5000,#####
5000,5000,5010,5000,5000,5000,5000,5000,5000,5000,#####
5000,5000,5000,5010,5000,5000,5000,5000,5000,5000,#####
5000,5000,5000,5000,5010,5000,5000,5000,5000,5000,#####
5000,5000,5000,5000,5000,5010,5000,5000,5000,5000,#####
5000,5000,5000,5000,5000,5000,5010,5000,5000,5000,#####
5000,5000,5000,5000,5000,5000,5000,5010,5000,5000,#####
5000,5000,5000,5000,5000,5000,5000,5000,5010,5000,#####
5000,5000,5000,5000,5000,5000,5000,5000,5000,5010,#####
6010,6000,6000,6000,6000,6000,6000,6000,6000,6000,######
6000,6010,6000,6000,6000,6000,6000,6000,6000,6000,######
6000,6000,6010,6000,6000,6000,6000,6000,6000,6000,######
6000,6000,6000,6010,6000,6000,6000,6000,6000,6000,######
6000,6000,6000,6000,6010,6000,6000,6000,6000,6000,######
6000,6000,6000,6000,6000,6010,6000,6000,6000,6000,######
6000,6000,6000,6000,6000,6000,6010,6000,6000,6000,######
6000,6000,6000,6000,6000,6000,6000,6010,6000,6000,######
6000,6000,6000,6000,6000,6000,6000,6000,6010,6000,######
6000,6000,6000,6000,6000,6000,6000,6000,6000,6010,######
7010,7000,7000,7000,7000,7000,7000,7000,7000,7000,#######
7000,7010,7000,7000,7000,7000,7000,7000,7000,7000,#######
7000,7000,7010,7000,7000,7000,7000,7000,7000,7000,#######
7000,7000,7000,7010,7000,7000,7000,7000,7000,7000,#######
7000,7000,7000,7000,7010,7000,7000,7000,7000,7000,#######
7000,7000,7000,7000,7000,7010,7000,7000,7000,7000,#######
7000,7000,7000,7000,7000,7000,7010,7000,7000,7000,#######
7000,7000,7000,7000,7000,7000,7000,7010,7000,7000,#######
7000,7000,7000,7000,7000,7000,7000,7000,7010,7000,#######
7000,7000,7000,7000,7000,7000,7000,7000,7000,7010,#######
