attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,class
110,100,100,100,100,100,100,100,100,100,#
100,110,100,100,100,100,100,100,100,100,#
100,100,110,100,100,100,100,100,100,100,#
100,100,100,110,100,100,100,100,100,100,#
100,100,100,100,110,100,100,100,100,100,#
100,100,100,100,100,110,100,100,100,100,#
100,100,100,100,100,100,110,100,100,100,#
100,100,100,100,100,100,100,110,100,100,#
100,100,100,100,100,100,100,100,110,100,#
100,100,100,100,100,100,100,100,100,110,#
210,200,200,200,200,200,200,200,200,200,##
200,210,200,200,200,200,200,200,200,200,##
200,200,210,200,200,200,200,200,200,200,##
200,200,200,210,200,200,200,200,200,200,##
200,200,200,200,210,200,200,200,200,200,##
200,200,200,200,200,210,200,200,200,200,##
200,200,200,200,200,200,210,200,200,200,##
200,200,200,200,200,200,200,210,200,200,##
200,200,200,200,200,200,200,200,210,200,##
200,200,200,200,200,200,200,200,200,210,##
310,300,300,300,300,300,300,300,300,300,###
300,310,300,300,300,300,300,300,300,300,###
300,300,310,300,300,300,300,300,300,300,###
300,300,300,310,300,300,300,300,300,300,###
300,300,300,300,310,300,300,300,300,300,###
300,300,300,300,300,310,300,300,300,300,###
300,300,300,300,300,300,310,300,300,300,###
300,300,300,300,300,300,300,310,300,300,###
300,300,300,300,300,300,300,300,310,300,###
300,300,300,300,300,300,300,300,300,310,###
410,400,400,400,400,400,400,400,400,400,####
400,410,400,400,400,400,400,400,400,400,####
400,400,410,400,400,400,400,400,400,400,####
400,400,400,410,400,400,400,400,400,400,####
400,400,400,400,410,400,400,400,400,400,####
400,400,400,400,400,410,400,400,400,400,####
400,400,400,400,400,400,410,400,400,400,####
400,400,400,400,400,400,400,410,400,400,####
400,400,400,400,400,400,400,400,410,400,####
400,400,400,400,400,400,400,400,400,410,####
510,500,500,500,500,500,500,500,500,500,#####
500,510,500,500,500,500,500,500,500,500,#####
500,500,510,500,500,500,500,500,500,500,#####
500,500,500,510,500,500,500,500,500,500,#####
500,500,500,500,510,500,500,500,500,500,#####
500,500,500,500,500,510,500,500,500,500,#####
500,500,500,500,500,500,510,500,500,500,#####
500,500,500,500,500,500,500,510,500,500,#####
500,500,500,500,500,500,500,500,510,500,#####
500,500,500,500,500,500,500,500,500,510,#####
610,600,600,600,600,600,600,600,600,600,######
600,610,600,600,600,600,600,600,600,600,######
600,600,610,600,600,600,600,600,600,600,######
600,600,600,610,600,600,600,600,600,600,######
600,600,600,600,610,600,600,600,600,600,######
600,600,600,600,600,610,600,600,600,600,######
600,600,600,600,600,600,610,600,600,600,######
600,600,600,600,600,600,600,610,600,600,######
600,600,600,600,600,600,600,600,610,600,######
600,600,600,600,600,600,600,600,600,610,######
710,700,700,700,700,700,700,700,700,700,#######
700,710,700,700,700,700,700,700,700,700,#######
700,700,710,700,700,700,700,700,700,700,#######
700,700,700,710,700,700,700,700,700,700,#######
700,700,700,700,710,700,700,700,700,700,#######
700,700,700,700,700,710,700,700,700,700,#######
700,700,700,700,700,700,710,700,700,700,#######
700,700,700,700,700,700,700,710,700,700,#######
700,700,700,700,700,700,700,700,710,700,#######
700,700,700,700,700,700,700,700,700,710,#######
810,800,800,800,800,800,800,800,800,800,########
800,810,800,800,800,800,800,800,800,800,########
800,800,810,800,800,800,800,800,800,800,########
800,800,800,810,800,800,800,800,800,800,########
800,800,800,800,810,800,800,800,800,800,########
800,800,800,800,800,810,800,800,800,800,########
800,800,800,800,800,800,810,800,800,800,########
800,800,800,800,800,800,800,810,800,800,########
800,800,800,800,800,800,800,800,810,800,########
800,800,800,800,800,800,800,800,800,810,########
910,900,900,900,900,900,900,900,900,900,#########
900,910,900,900,900,900,900,900,900,900,#########
900,900,910,900,900,900,900,900,900,900,#########
900,900,900,910,900,900,900,900,900,900,#########
900,900,900,900,910,900,900,900,900,900,#########
900,900,900,900,900,910,900,900,900,900,#########
900,900,900,900,900,900,910,900,900,900,#########
900,900,900,900,900,900,900,910,900,900,#########
900,900,900,900,900,900,900,900,910,900,#########
900,900,900,900,900,900,900,900,900,910,#########
1010,1000,1000,1000,1000,1000,1000,1000,1000,1000,##########
1000,1010,1000,1000,1000,1000,1000,1000,1000,1000,##########
1000,1000,1010,1000,1000,1000,1000,1000,1000,1000,##########
1000,1000,1000,1010,1000,1000,1000,1000,1000,1000,##########
1000,1000,1000,1000,1010,1000,1000,1000,1000,1000,##########
1000,1000,1000,1000,1000,1010,1000,1000,1000,1000,##########
1000,1000,1000,1000,1000,1000,1010,1000,1000,1000,##########
1000,1000,1000,1000,1000,1000,1000,1010,1000,1000,##########
1000,1000,1000,1000,1000,1000,1000,1000,1010,1000,##########
1000,1000,1000,1000,1000,1000,1000,1000,1000,1010,##########
1110,1100,1100,1100,1100,1100,1100,1100,1100,1100,###########
1100,1110,1100,1100,1100,1100,1100,1100,1100,1100,###########
1100,1100,1110,1100,1100,1100,1100,1100,1100,1100,###########
1100,1100,1100,1110,1100,1100,1100,1100,1100,1100,###########
1100,1100,1100,1100,1110,1100,1100,1100,1100,1100,###########
1100,1100,1100,1100,1100,1110,1100,1100,1100,1100,###########
1100,1100,1100,1100,1100,1100,1110,1100,1100,1100,###########
1100,1100,1100,1100,1100,1100,1100,1110,1100,1100,###########
1100,1100,1100,1100,1100,1100,1100,1100,1110,1100,###########
1100,1100,1100,1100,1100,1100,1100,1100,1100,1110,###########
1210,1200,1200,1200,1200,1200,1200,1200,1200,1200,############
1200,1210,1200,1200,1200,1200,1200,1200,1200,1200,############
1200,1200,1210,1200,1200,1200,1200,1200,1200,1200,############
1200,1200,1200,1210,1200,1200,1200,1200,1200,1200,############
1200,1200,1200,1200,1210,1200,1200,1200,1200,1200,############
1200,1200,1200,1200,1200,1210,1200,1200,1200,1200,############
1200,1200,1200,1200,1200,1200,1210,1200,1200,1200,############
1200,1200,1200,1200,1200,1200,1200,1210,1200,1200,############
1200,1200,1200,1200,1200,1200,1200,1200,1210,1200,############
1200,1200,1200,1200,1200,1200,1200,1200,1200,1210,############
1310,1300,1300,1300,1300,1300,1300,1300,1300,1300,#############
1300,1310,1300,1300,1300,1300,1300,1300,1300,1300,#############
1300,1300,1310,1300,1300,1300,1300,1300,1300,1300,#############
1300,1300,1300,1310,1300,1300,1300,1300,1300,1300,#############
1300,1300,1300,1300,1310,1300,1300,1300,1300,1300,#############
1300,1300,1300,1300,1300,1310,1300,1300,1300,1300,#############
1300,1300,1300,1300,1300,1300,1310,1300,1300,1300,#############
1300,1300,1300,1300,1300,1300,1300,1310,1300,1300,#############
1300,1300,1300,1300,1300,1300,1300,1300,1310,1300,#############
1300,1300,1300,1300,1300,1300,1300,1300,1300,1310,#############
1410,1400,1400,1400,1400,1400,1400,1400,1400,1400,##############
1400,1410,1400,1400,1400,1400,1400,1400,1400,1400,##############
1400,1400,1410,1400,1400,1400,1400,1400,1400,1400,##############
1400,1400,1400,1410,1400,1400,1400,1400,1400,1400,##############
1400,1400,1400,1400,1410,1400,1400,1400,1400,1400,##############
1400,1400,1400,1400,1400,1410,1400,1400,1400,1400,##############
1400,1400,1400,1400,1400,1400,1410,1400,1400,1400,##############
1400,1400,1400,1400,1400,1400,1400,1410,1400,1400,##############
1400,1400,1400,1400,1400,1400,1400,1400,1410,1400,##############
1400,1400,1400,1400,1400,1400,1400,1400,1400,1410,##############
1510,1500,1500,1500,1500,1500,1500,1500,1500,1500,###############
1500,1510,1500,1500,1500,1500,1500,1500,1500,1500,###############
1500,1500,1510,1500,1500,1500,1500,1500,1500,1500,###############
1500,1500,1500,1510,1500,1500,1500,1500,1500,1500,###############
1500,1500,1500,1500,1510,1500,1500,1500,1500,1500,###############
1500,1500,1500,1500,1500,1510,1500,1500,1500,1500,###############
1500,1500,1500,1500,1500,1500,1510,1500,1500,1500,###############
1500,1500,1500,1500,1500,1500,1500,1510,1500,1500,###############
1500,1500,1500,1500,1500,1500,1500,1500,1510,1500,###############
1500,1500,1500,1500,1500,1500,1500,1500,1500,1510,###############
1610,1600,1600,1600,1600,1600,1600,1600,1600,1600,################
1600,1610,1600,1600,1600,1600,1600,1600,1600,1600,################
1600,1600,1610,1600,1600,1600,1600,1600,1600,1600,################
1600,1600,1600,1610,1600,1600,1600,1600,1600,1600,################
1600,1600,1600,1600,1610,1600,1600,1600,1600,1600,################
1600,1600,1600,1600,1600,1610,1600,1600,1600,1600,################
1600,1600,1600,1600,1600,1600,1610,1600,1600,1600,################
1600,1600,1600,1600,1600,1600,1600,1610,1600,1600,################
1600,1600,1600,1600,1600,1600,1600,1600,1610,1600,################
1600,1600,1600,1600,1600,1600,1600,1600,1600,1610,################
1710,1700,1700,1700,1700,1700,1700,1700,1700,1700,#################
1700,1710,1700,1700,1700,1700,1700,1700,1700,1700,#################
1700,1700,1710,1700,1700,1700,1700,1700,1700,1700,#################
1700,1700,1700,1710,1700,1700,1700,1700,1700,1700,#################
1700,1700,1700,1700,1710,1700,1700,1700,1700,1700,#################
1700,1700,1700,1700,1700,1710,1700,1700,1700,1700,#################
1700,1700,1700,1700,1700,1700,1710,1700,1700,1700,#################
1700,1700,1700,1700,1700,1700,1700,1710,1700,1700,#################
1700,1700,1700,1700,1700,1700,1700,1700,1710,1700,#################
1700,1700,1700,1700,1700,1700,1700,1700,1700,1710,#################
1810,1800,1800,1800,1800,1800,1800,1800,1800,1800,##################
1800,1810,1800,1800,1800,1800,1800,1800,1800,1800,##################
1800,1800,1810,1800,1800,1800,1800,1800,1800,1800,##################
1800,1800,1800,1810,1800,1800,1800,1800,1800,1800,##################
1800,1800,1800,1800,1810,1800,1800,1800,1800,1800,##################
1800,1800,1800,1800,1800,1810,1800,1800,1800,1800,##################
1800,1800,1800,1800,1800,1800,1810,1800,1800,1800,##################
1800,1800,1800,1800,1800,1800,1800,1810,1800,1800,##################
1800,1800,1800,1800,1800,1800,1800,1800,1810,1800,##################
1800,1800,1800,1800,1800,1800,1800,1800,1800,1810,##################
1910,1900,1900,1900,1900,1900,1900,1900,1900,1900,###################
1900,1910,1900,1900,1900,1900,1900,1900,1900,1900,###################
1900,1900,1910,1900,1900,1900,1900,1900,1900,1900,###################
1900,1900,1900,1910,1900,1900,1900,1900,1900,1900,###################
1900,1900,1900,1900,1910,1900,1900,1900,1900,1900,###################
1900,1900,1900,1900,1900,1910,1900,1900,1900,1900,###################
1900,1900,1900,1900,1900,1900,1910,1900,1900,1900,###################
1900,1900,1900,1900,1900,1900,1900,1910,1900,1900,###################
1900,1900,1900,1900,1900,1900,1900,1900,1910,1900,###################
1900,1900,1900,1900,1900,1900,1900,1900,1900,1910,###################
2010,2000,2000,2000,2000,2000,2000,2000,2000,2000,####################
2000,2010,2000,2000,2000,2000,2000,2000,2000,2000,####################
2000,2000,2010,2000,2000,2000,2000,2000,2000,2000,####################
2000,2000,2000,2010,2000,2000,2000,2000,2000,2000,####################
2000,2000,2000,2000,2010,2000,2000,2000,2000,2000,####################
2000,2000,2000,2000,2000,2010,2000,2000,2000,2000,####################
2000,2000,2000,2000,2000,2000,2010,2000,2000,2000,####################
2000,2000,2000,2000,2000,2000,2000,2010,2000,2000,####################
2000,2000,2000,2000,2000,2000,2000,2000,2010,2000,####################
2000,2000,2000,2000,2000,2000,2000,2000,2000,2010,####################
2110,2100,2100,2100,2100,2100,2100,2100,2100,2100,#####################
2100,2110,2100,2100,2100,2100,2100,2100,2100,2100,#####################
2100,2100,2110,2100,2100,2100,2100,2100,2100,2100,#####################
2100,2100,2100,2110,2100,2100,2100,2100,2100,2100,#####################
2100,2100,2100,2100,2110,2100,2100,2100,2100,2100,#####################
2100,2100,2100,2100,2100,2110,2100,2100,2100,2100,#####################
2100,2100,2100,2100,2100,2100,2110,2100,2100,2100,#####################
2100,2100,2100,2100,2100,2100,2100,2110,2100,2100,#####################
2100,2100,2100,2100,2100,2100,2100,2100,2110,2100,#####################
2100,2100,2100,2100,2100,2100,2100,2100,2100,2110,#####################
2210,2200,2200,2200,2200,2200,2200,2200,2200,2200,######################
2200,2210,2200,2200,2200,2200,2200,2200,2200,2200,######################
2200,2200,2210,2200,2200,2200,2200,2200,2200,2200,######################
2200,2200,2200,2210,2200,2200,2200,2200,2200,2200,######################
2200,2200,2200,2200,2210,2200,2200,2200,2200,2200,######################
2200,2200,2200,2200,2200,2210,2200,2200,2200,2200,######################
2200,2200,2200,2200,2200,2200,2210,2200,2200,2200,######################
2200,2200,2200,2200,2200,2200,2200,2210,2200,2200,######################
2200,2200,2200,2200,2200,2200,2200,2200,2210,2200,######################
2200,2200,2200,2200,2200,2200,2200,2200,2200,2210,######################
2310,2300,2300,2300,2300,2300,2300,2300,2300,2300,#######################
2300,2310,2300,2300,2300,2300,2300,2300,2300,2300,#######################
2300,2300,2310,2300,2300,2300,2300,2300,2300,2300,#######################
2300,2300,2300,2310,2300,2300,2300,2300,2300,2300,#######################
2300,2300,2300,2300,2310,2300,2300,2300,2300,2300,#######################
2300,2300,2300,2300,2300,2310,2300,2300,2300,2300,#######################
2300,2300,2300,2300,2300,2300,2310,2300,2300,2300,#######################
2300,2300,2300,2300,2300,2300,2300,2310,2300,2300,#######################
2300,2300,2300,2300,2300,2300,2300,2300,2310,2300,#######################
2300,2300,2300,2300,2300,2300,2300,2300,2300,2310,#######################
2410,2400,2400,2400,2400,2400,2400,2400,2400,2400,########################
2400,2410,2400,2400,2400,2400,2400,2400,2400,2400,########################
2400,2400,2410,2400,2400,2400,2400,2400,2400,2400,########################
2400,2400,2400,2410,2400,2400,2400,2400,2400,2400,########################
2400,2400,2400,2400,2410,2400,2400,2400,2400,2400,########################
2400,2400,2400,2400,2400,2410,2400,2400,2400,2400,########################
2400,2400,2400,2400,2400,2400,2410,2400,2400,2400,########################
2400,2400,2400,2400,2400,2400,2400,2410,2400,2400,########################
2400,2400,2400,2400,2400,2400,2400,2400,2410,2400,########################
2400,2400,2400,2400,2400,2400,2400,2400,2400,2410,########################
2510,2500,2500,2500,2500,2500,2500,2500,2500,2500,#########################
2500,2510,2500,2500,2500,2500,2500,2500,2500,2500,#########################
2500,2500,2510,2500,2500,2500,2500,2500,2500,2500,#########################
2500,2500,2500,2510,2500,2500,2500,2500,2500,2500,#########################
2500,2500,2500,2500,2510,2500,2500,2500,2500,2500,#########################
2500,2500,2500,2500,2500,2510,2500,2500,2500,2500,#########################
2500,2500,2500,2500,2500,2500,2510,2500,2500,2500,#########################
2500,2500,2500,2500,2500,2500,2500,2510,2500,2500,#########################
2500,2500,2500,2500,2500,2500,2500,2500,2510,2500,#########################
2500,2500,2500,2500,2500,2500,2500,2500,2500,2510,#########################
2610,2600,2600,2600,2600,2600,2600,2600,2600,2600,##########################
2600,2610,2600,2600,2600,2600,2600,2600,2600,2600,##########################
2600,2600,2610,2600,2600,2600,2600,2600,2600,2600,##########################
2600,2600,2600,2610,2600,2600,2600,2600,2600,2600,##########################
2600,2600,2600,2600,2610,2600,2600,2600,2600,2600,##########################
2600,2600,2600,2600,2600,2610,2600,2600,2600,2600,##########################
2600,2600,2600,2600,2600,2600,2610,2600,2600,2600,##########################
2600,2600,2600,2600,2600,2600,2600,2610,2600,2600,##########################
2600,2600,2600,2600,2600,2600,2600,2600,2610,2600,##########################
2600,2600,2600,2600,2600,2600,2600,2600,2600,2610,##########################
2710,2700,2700,2700,2700,2700,2700,2700,2700,2700,###########################
2700,2710,2700,2700,2700,2700,2700,2700,2700,2700,###########################
2700,2700,2710,2700,2700,2700,2700,2700,2700,2700,###########################
2700,2700,2700,2710,2700,2700,2700,2700,2700,2700,###########################
2700,2700,2700,2700,2710,2700,2700,2700,2700,2700,###########################
2700,2700,2700,2700,2700,2710,2700,2700,2700,2700,###########################
2700,2700,2700,2700,2700,2700,2710,2700,2700,2700,###########################
2700,2700,2700,2700,2700,2700,2700,2710,2700,2700,###########################
2700,2700,2700,2700,2700,2700,2700,2700,2710,2700,###########################
2700,2700,2700,2700,2700,2700,2700,2700,2700,2710,###########################
2810,2800,2800,2800,2800,2800,2800,2800,2800,2800,############################
2800,2810,2800,2800,2800,2800,2800,2800,2800,2800,############################
2800,2800,2810,2800,2800,2800,2800,2800,2800,2800,############################
2800,2800,2800,2810,2800,2800,2800,2800,2800,2800,############################
2800,2800,2800,2800,2810,2800,2800,2800,2800,2800,############################
2800,2800,2800,2800,2800,2810,2800,2800,2800,2800,############################
2800,2800,2800,2800,2800,2800,2810,2800,2800,2800,############################
2800,2800,2800,2800,2800,2800,2800,2810,2800,2800,############################
2800,2800,2800,2800,2800,2800,2800,2800,2810,2800,############################
2800,2800,2800,2800,2800,2800,2800,2800,2800,2810,############################
2910,2900,2900,2900,2900,2900,2900,2900,2900,2900,#############################
2900,2910,2900,2900,2900,2900,2900,2900,2900,2900,#############################
2900,2900,2910,2900,2900,2900,2900,2900,2900,2900,#############################
2900,2900,2900,2910,2900,2900,2900,2900,2900,2900,#############################
2900,2900,2900,2900,2910,2900,2900,2900,2900,2900,#############################
2900,2900,2900,2900,2900,2910,2900,2900,2900,2900,#############################
2900,2900,2900,2900,2900,2900,2910,2900,2900,2900,#############################
2900,2900,2900,2900,2900,2900,2900,2910,2900,2900,#############################
2900,2900,2900,2900,2900,2900,2900,2900,2910,2900,#############################
2900,2900,2900,2900,2900,2900,2900,2900,2900,2910,#############################
3010,3000,3000,3000,3000,3000,3000,3000,3000,3000,##############################
3000,3010,3000,3000,3000,3000,3000,3000,3000,3000,##############################
3000,3000,3010,3000,3000,3000,3000,3000,3000,3000,##############################
3000,3000,3000,3010,3000,3000,3000,3000,3000,3000,##############################
3000,3000,3000,3000,3010,3000,3000,3000,3000,3000,##############################
3000,3000,3000,3000,3000,3010,3000,3000,3000,3000,##############################
3000,3000,3000,3000,3000,3000,3010,3000,3000,3000,##############################
3000,3000,3000,3000,3000,3000,3000,3010,3000,3000,##############################
3000,3000,3000,3000,3000,3000,3000,3000,3010,3000,##############################
3000,3000,3000,3000,3000,3000,3000,3000,3000,3010,##############################
3110,3100,3100,3100,3100,3100,3100,3100,3100,3100,###############################
3100,3110,3100,3100,3100,3100,3100,3100,3100,3100,###############################
3100,3100,3110,3100,3100,3100,3100,3100,3100,3100,###############################
3100,3100,3100,3110,3100,3100,3100,3100,3100,3100,###############################
3100,3100,3100,3100,3110,3100,3100,3100,3100,3100,###############################
3100,3100,3100,3100,3100,3110,3100,3100,3100,3100,###############################
3100,3100,3100,3100,3100,3100,3110,3100,3100,3100,###############################
3100,3100,3100,3100,3100,3100,3100,3110,3100,3100,###############################
3100,3100,3100,3100,3100,3100,3100,3100,3110,3100,###############################
3100,3100,3100,3100,3100,3100,3100,3100,3100,3110,###############################
3210,3200,3200,3200,3200,3200,3200,3200,3200,3200,################################
3200,3210,3200,3200,3200,3200,3200,3200,3200,3200,################################
3200,3200,3210,3200,3200,3200,3200,3200,3200,3200,################################
3200,3200,3200,3210,3200,3200,3200,3200,3200,3200,################################
3200,3200,3200,3200,3210,3200,3200,3200,3200,3200,################################
3200,3200,3200,3200,3200,3210,3200,3200,3200,3200,################################
3200,3200,3200,3200,3200,3200,3210,3200,3200,3200,################################
3200,3200,3200,3200,3200,3200,3200,3210,3200,3200,################################
3200,3200,3200,3200,3200,3200,3200,3200,3210,3200,################################
3200,3200,3200,3200,3200,3200,3200,3200,3200,3210,################################
3310,3300,3300,3300,3300,3300,3300,3300,3300,3300,#################################
3300,3310,3300,3300,3300,3300,3300,3300,3300,3300,#################################
3300,3300,3310,3300,3300,3300,3300,3300,3300,3300,#################################
3300,3300,3300,3310,3300,3300,3300,3300,3300,3300,#################################
3300,3300,3300,3300,3310,3300,3300,3300,3300,3300,#################################
3300,3300,3300,3300,3300,3310,3300,3300,3300,3300,#################################
3300,3300,3300,3300,3300,3300,3310,3300,3300,3300,#################################
3300,3300,3300,3300,3300,3300,3300,3310,3300,3300,#################################
3300,3300,3300,3300,3300,3300,3300,3300,3310,3300,#################################
3300,3300,3300,3300,3300,3300,3300,3300,3300,3310,#################################
3410,3400,3400,3400,3400,3400,3400,3400,3400,3400,##################################
3400,3410,3400,3400,3400,3400,3400,3400,3400,3400,##################################
